,Unnamed: 0,text,label
0,0,Yes we do offer financing.,0
1,1,Hubster and I made our first purchase together as a married couple yesterday and got ourselves a new car ?? its PEE ,0
2,2,Has anything on the car ever been replaced or updated?,0
3,3,Yes simply fill out our locater request and we will locate a vehicle that meets your requirements.,0
4,4,Check that the windows move up and down easily and that the seats move back and forward properly.,0
5,5,"A dealer might ask you to sign a document saying that you are purchasing the car ""as is."" Remember that a dealer is not allowed to sell a car ""as is"" under District of Columbia law. So even if you have signed a document saying that you have purchased the car ""as is"" you cannot give up your legal rights as a consumer under the implied warranty of merchantability.",0
6,6,Yes we welcome any independent inspection to be performed on all of our vehicles.,0
7,7,"""Zane is so excited to drive his new car... and by the looks of it so is his granddaughter!! ??",0
8,8,Does the mileage shown on the odometer seem to be consistent with the condition of the car?,0
9,9,"""Check out our latest prestige cars ",0
10,10,We do not have any locate fees finder fees or any other fees associated with finding your dream car. You will get the same low price that we offer on all of our cars. Most of the time our prices are below Wholesale.,0
11,11,How much do you charge if I would like to locate a vehicle?,0
12,12,Does Tata Harrier have a petrol model? What is the engine capacity and mileage?,0
13,13,Notice whether the seats and carpeting show unusual wear and tear.,0
14,14,"If they take these vehicles they cannot claim fuel expenses"" said the executive requesting anonymity.",0
15,15,Don't tell the salesperson how much you are willing to spend monthly on the car. First agree on the price of the car. Then discuss the financing.,0
16,16,The second person mentioned said taking into consideration the shortcomings of E-Verito Mahindra is developing a new electric vehicle that gives more mileage.,0
17,17,"""RT TCHarrisonFord Old vs new! What are your thoughts on the new Puma? ??",0
18,18,sellerthis one is innova,0
19,19,"You should check your local newspapers to see the asking prices for the kind of car you are interested in buying or trading in. The ""asking price"" is simply the price the seller would like to get for the car and may not reflect the actual value of the car.",0
20,20,Congratulations Earl on your  Nissan  Kicks from Rubel Harmon at Waxahachie Nissan!  NewCar ,0
21,21,"""Congratulations to these very happy customers who have all collected their new Nissan cars from us! ????",0
22,22,Gas guzzlers that dont get a lot of miles per gallon will cost you more in the long run. But if you want a truck or SUV and can afford the costs to fuel it then this may not be an issue for you.,0
23,23,Spring broken,0
24,24,Its taken me a little while to post this because I kept forgetting to take pics but I got a new car! Its so prett ,0
25,25, carfinance ,0
26,26,"""View our wide range of affordable top quality pre-owned cars online. Contact us today for more information on our ",0
27,27,If you didnt ask for something like a new paint job or a dealer-installed accessory then be adamant about not paying for it.,0
28,28,Belts missing or inoperable,0
29,29,Cracked or damaged case which is visible,0
30,30,"""RT MobilityPremium View our wide range of affordable top quality pre-owned cars online. Contact us today for more information on our pre""1",0
31,31,"""RT AMTAutoUK How does leasing work? From initial contact through to getting your new car we tell you exactly what to expect. Find out mo""1",0
32,32,If recall work needs to be done the dealership will usually do it for free even if you are not the original owner of the car. If you have trouble finding a dealership that will check for safety recalls you should be able to get this information by calling the manufacturer or importer of the car.,0
33,33,Brake System,0
34,34,Car Buyer Could you please brief about Dzire and Ciaz? So that I could decide which one I want to go for.,0
35,35,Aim to spend up to  minutes on a test drive. You need time to evaluate how well the car runs and whether the car suits your lifestyle. If a private seller hesitates invite them along for the ride. Theyll appreciate the chance to keep a watchful eye on their vehicle.,0
36,36,Where do you Source your used cars? ,0
37,37," TPIRPostYourPrize  NewCar""1",0
38,38,Battery capacity was not up to the mark compared to global standards the official told the newspaper requesting anonymity.,0
39,39,Improperly functioning alternator generator battery or starter,0
40,40," TPIRPostYourPrize  NewCar""1",0
41,41,seller hello sir what can i do for you today?,0
